"REPETIÇÃO";"SEED";"GENERATOR";"XML: MARSHAL";"XML: SIZE";"XML: UNMARSHAL";"XML GZIP: MARSHAL";"XML GZIP: SIZE";"XML GZIP: UNMARSHAL";"PROTOBUF: MARSHAL";"PROTOBUF: INI DATA STRUCTURES (MARSHAL)";"PROTOBUF: SIZE";"PROTOBUF: UNMARSHAL";"PROTOBUF: INI DATA STRUCTURES (UNMARSHAL)"
"";"";"Tempo (ms)";"Tempo (ms)";"Tamanho (KB)";"Tempo (ms)";"Tempo (ms)";"Tamanho (KB)";"Tempo (ms)";"Tempo (ms)";"Tempo (ms)";"Tamanho (KB)";"Tempo (ms)";"Tempo (ms)"
"1";"12131451";"365";"151";"55";"126";"9";"11";"5";"11";"32";"20";"5";"0"
"2";"510";"24";"4";"54";"4";"3";"11";"4";"1";"0";"20";"0";"0"
"3";"6711890";"20";"3";"54";"3";"3";"11";"3";"0";"1";"20";"1";"0"
"4";"10000";"19";"2";"54";"3";"3";"11";"3";"1";"0";"20";"1";"0"
"5";"987165";"24";"2";"54";"3";"3";"11";"3";"0";"0";"20";"0";"0"
"6";"11171";"25";"2";"54";"3";"3";"11";"3";"1";"0";"20";"1";"0"
"7";"431210";"19";"3";"54";"3";"4";"11";"5";"1";"0";"20";"0";"0"
"8";"4444144";"24";"3";"54";"2";"3";"11";"3";"0";"0";"20";"0";"0"
"9";"1213";"28";"2";"54";"2";"3";"11";"3";"0";"0";"20";"0";"0"
"10";"246180";"19";"2";"54";"3";"2";"11";"2";"1";"0";"20";"1";"0"
"11";"4516";"31";"2";"55";"2";"2";"11";"2";"1";"0";"20";"0";"0"
"12";"13579";"26";"2";"54";"2";"3";"11";"2";"0";"0";"20";"0";"0"
"13";"7819";"22";"2";"55";"2";"3";"11";"2";"1";"0";"20";"1";"0"
"14";"5431543";"19";"2";"54";"2";"3";"11";"2";"1";"0";"20";"0";"0"
"15";"2711727";"24";"2";"54";"2";"2";"11";"2";"0";"0";"20";"0";"0"
"16";"7514385";"23";"2";"54";"3";"17";"11";"3";"1";"0";"20";"1";"0"
"17";"9996166";"17";"2";"54";"2";"3";"12";"3";"1";"0";"20";"0";"0"
"18";"190121835";"18";"1";"54";"3";"3";"11";"2";"0";"0";"20";"1";"0"
"19";"1029138";"18";"1";"54";"3";"3";"11";"3";"1";"0";"20";"0";"0"
"20";"47116";"18";"2";"54";"3";"3";"11";"2";"0";"0";"20";"1";"0"
